,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.23685841481004058,0.0,0.0,0.47875827133616405,0.0048777093225750336,0.012244883271436333,0.0,0.0,0.002014657403037735,0.0,0.09235799007826619,0.0006681198706948303,0.4479238580045177,0.14020935131127157,0.009591134607157362,0.4783407386209658,0.46549658467915717,0.4864166664576616,0.519458598161151,0.0021711089083829398,0.0050112435951318954,0.22471102736821144
9,0.7177518737969695,0.0279297178078536,0.006987529785024377,0.7600514600566889,0.017294410693295473,0.020908045330867826,0.0009097771900238991,0.00013079304368164368,0.006957933779389923,0.48899818709668946,0.0445808467506125,0.019385616837643716,0.7390437127381362,0.38797944036626425,0.10638163526630641,0.016395449970939367,0.7437249351659281,0.7616798389401184,0.8176845543733409,0.022149868885597914,0.032484296661574395,0.47941979069660723
