Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,228981,-,-,-,46.61,-120.5,-8,354,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,,3.1.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,7,30,0,0,0,2.5,-5.9,93.21000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,8,30,10,10,0,2.8000000000000003,-5.6000000000000005,84.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,9,30,76,75,6,3,-5.1000000000000005,77.85000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,10,30,123,114,31,2.9000000000000004,-4.6000000000000005,72.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,11,30,152,137,45,2.8000000000000003,-4.4,69.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,12,30,110,110,0,2.7,-4.2,69.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,13,30,93,93,0,2.7,-4.3,71.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,14,30,62,62,0,2.6,-4.6000000000000005,76.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,15,30,28,28,0,2.5,-4.800000000000001,83.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,16,30,0,0,0,2.5,-5.9,91.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,17,30,0,0,0,2.5,-6.1000000000000005,100.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,18,30,0,0,0,2.5,-6,110.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,19,30,0,0,0,2.5,-5.800000000000001,120.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,20,30,0,0,0,2.3000000000000003,-5.6000000000000005,130.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,21,30,0,0,0,2.2,-5.4,140.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,22,30,0,0,0,2.1,-5,149.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,2,23,30,0,0,0,2,-4.6000000000000005,155.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
